id,app,name,applied
1,Term,0001_initial,2024-08-14 12:15:17.851774
2,contenttypes,0001_initial,2024-08-14 12:15:17.854775
3,contenttypes,0002_remove_content_type_name,2024-08-14 12:15:17.859773
4,auth,0001_initial,2024-08-14 12:15:17.866773
5,auth,0002_alter_permission_name_max_length,2024-08-14 12:15:17.874775
6,auth,0003_alter_user_email_max_length,2024-08-14 12:15:17.877774
7,auth,0004_alter_user_username_opts,2024-08-14 12:15:17.880774
8,auth,0005_alter_user_last_login_null,2024-08-14 12:15:17.883774
9,auth,0006_require_contenttypes_0002,2024-08-14 12:15:17.885774
10,auth,0007_alter_validators_add_error_messages,2024-08-14 12:15:17.888774
11,auth,0008_alter_user_username_max_length,2024-08-14 12:15:17.892774
12,auth,0009_alter_user_last_name_max_length,2024-08-14 12:15:17.895774
13,auth,0010_alter_group_name_max_length,2024-08-14 12:15:17.899773
14,auth,0011_update_proxy_permissions,2024-08-14 12:15:17.902775
15,auth,0012_alter_user_first_name_max_length,2024-08-14 12:15:17.906775
16,accounts,0001_initial,2024-08-14 12:15:17.918775
17,account,0001_initial,2024-08-14 12:15:17.932775
18,account,0002_email_max_length,2024-08-14 12:15:17.940774
19,account,0003_alter_emailaddress_create_unique_verified_email,2024-08-14 12:15:17.950774
20,account,0004_alter_emailaddress_drop_unique_email,2024-08-14 12:15:17.956776
21,account,0005_emailaddress_idx_upper_email,2024-08-14 12:15:17.961774
22,account,0006_emailaddress_lower,2024-08-14 12:15:17.966773
23,account,0007_emailaddress_idx_email,2024-08-14 12:15:17.975774
24,account,0008_emailaddress_unique_primary_email_fixup,2024-08-14 12:15:17.981775
25,account,0009_emailaddress_unique_primary_email,2024-08-14 12:15:17.986774
26,admin,0001_initial,2024-08-14 12:15:17.994773
27,admin,0002_logentry_remove_auto_add,2024-08-14 12:15:18.000775
28,admin,0003_logentry_add_action_flag_choices,2024-08-14 12:15:18.004774
29,lyrics,0001_initial,2024-08-14 12:15:18.016775
30,sessions,0001_initial,2024-08-14 12:15:18.020774
31,sites,0001_initial,2024-08-14 12:15:18.023776
32,sites,0002_alter_domain_unique,2024-08-14 12:15:18.026774
33,socialaccount,0001_initial,2024-08-14 12:15:18.048774
34,socialaccount,0002_token_max_lengths,2024-08-14 12:15:18.061774
35,socialaccount,0003_extra_data_default_dict,2024-08-14 12:15:18.067775
36,socialaccount,0004_app_provider_id_settings,2024-08-14 12:15:18.079773
37,socialaccount,0005_socialtoken_nullable_app,2024-08-14 12:15:18.088774
38,socialaccount,0006_alter_socialaccount_extra_data,2024-08-14 12:15:18.095775
39,accounts,0002_user_twitter_id_alter_user_email_and_more,2024-08-15 07:10:08.034491
